Designator,Qty,MPN,Link
PULLUP,1,WY-1963,
"BOOT-SW, EN_SW",2,DTSM-62K-S-V-T/R(SN431),
RPROG,1,RC0805JR-071KL,
R5,1,RC1206JR-07100RL,
"C6, C7, C11, C12",4,CC0603KRX7R9BB104,
"C1, C4, C13, C16",4,CC0805KRX7R9BB104,
"R1, R4",2,RC0603FR-0710KL,
C17,1,CC0603MRX5R5BB106,
C5,1,CC0805JRX7R9BB103,
C2,1,CC1206KKX5R8BB106,
C8,1,TAJA106K016RNJ,
"R2, R3, R7",3,RC0603FR-071KL,
R8,1,RC0805JR-071KL,
C3,1,CC0805MKX5R5BB226,
"R10, R11",2,RC0805JR-071KL,
R6,1,RC0603FR-071K5L,
C10,1,TAJA475*016#NJ,
"C14, C15",2,CC0402JRNPO9BN470,
MOTOR-PIN,1,F185-1104A1BSYA1,
C9,1,TCJB685M025R0150,
POWER-SW,1,A11JP,https://www.mouser.co.uk/ProductDetail/NKK-Switches/A11JP?qs=KqcCwYXy5KGYGAOWVYZnow%3D%3D
BAT-BLUE,1,EL-17-215/BHC-AN1P2/3T,
IC1,1,DW01A,"http://hmsemi.com/downfile/DW01A.PDF
https://www.ic-fortune.com/upload/Download/DW01x-DS-17_EN_53550.pdf"
ESP 32,1,ESP32-WROOM-32E (8MB),https://www.mouser.co.uk/ProductDetail/Espressif-Systems/ESP32-WROOM-32E-8MB?qs=GBLSl2AkirsjshqvD9slKA%3D%3D
Q1,1,FS8205A,https://www.ic-fortune.com/upload/Download/FS8205A-DS-12_EN.pdf
USB-TO-SERIAL-LED,1,17-215SYGC/S530-E2/TR8,
BAT,1,GS012S-3.5-02P-11,
CNV-IC,1,FT230XS-R,https://pricing.snapeda.com/search/part/FT230XS-R/?ref=eda
FERRITE-BEAD,1,LI0805H151R-10,https://pricing.snapeda.com/search/part/LI0805H151R-10/?ref=eda
BAT-RED,1,17-215SURC/S530-A2/TR8,
HUSE,1,SMD0805R035SF,
LDO-IC,1,SPX3940AM3-L-3-3/TR,
DRIVER-IC,1,TB6612FNG,https://www.mouser.jp/datasheet/2/408/TB6612FNG_datasheet_en_20141001-708260.pdf
CHARGER-IC,1,TP4056,
PWR-LED,1,17-215UYC/S530-A3/TR8,
USB1,1,ZX62-B-5PA,
